"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Cdh1",13.7356741269123,0.0231374318258241,0.0867254209777824,0.148178648715196,0.595903967234576
"Cdh4",197.972669701739,-0.0458324455081608,0.0932167839900753,0.188046572591033,0.646950518095489
"Ckmt1",3592.72537927735,-0.0751967425954918,0.0763495577391674,0.12584564715367,0.563427656540162
"Bcl6b",27.1342208602115,-0.0353838936488016,0.0811170133806426,0.33589407767014,0.77120358251952
"Clec10a",7.44185295644409,0.048705579356306,0.0994277963389309,0.0798279337582227,0.469987989773643
"Alox12",14.376691590301,-0.0404742821424943,0.0917817151438445,0.147120553163146,0.594241468871376
"ENSMUSG00000000325",522.582790077231,-0.0079763623821467,0.0611912761115564,0.84869283345034,0.964356443725378
"Comt",2331.69814855006,0.0215015553711321,0.0586930100862453,0.686843257644773,0.927301012105099
"Rtca",1001.07693863657,-0.0440064706127898,0.0612837664629256,0.311805990358374,0.755917024060211
"Dbt",264.698725755107,-0.250350325274115,0.101105551837296,0.000941452723761331,0.025424794267732
"Dazap2",3438.00954310168,0.0424813586367204,0.0537381408101299,0.284817959059799,0.737312679396571
"Mcts1",922.739077961393,-0.0546438723013895,0.0733798598642737,0.249676682358885,0.705492014190131
"Rem1",10.7084370509791,0.023768261028572,0.0826273636446735,0.408258749315785,0.811778103614788
"Rnf17",15.7856803097297,0.033390683322905,0.086896649051546,0.260475547529351,0.717627064400711
"Trappc10",285.729860692093,-0.0300124764023413,0.0696110662957224,0.468224190330105,0.843121283305688
"Ccm2",909.637361265139,0.0589376025090468,0.0789943364117299,0.159321284932679,0.613208251334749
"Tbrg4",236.471704574334,-0.0475550007367835,0.0547074173896326,0.268522937525119,0.725342499328033
"Tmprss2",1.45494744014859,-0.0062972604905738,0.083202887478022,0.541443781618946,0.872673128980472
"Mx1",8.63235222716376,0.0484891083136628,0.10550887877534,0.000191144784555344,0.00651033430381039
"Fap",29.4867320726967,-0.00413979085913132,0.0821291907594741,0.778858271494946,0.950398222724782
"Gcg",0.499601249305958,-0.0113808437017985,0.0846168267491273,0.00779360187663406,NA
"Ndufa9",2017.32023908919,-0.034230456835882,0.0619372867629387,0.473162774068509,0.845106002851004
"Egfl6",50.3233427388072,-0.448319431593415,0.232666872609328,0.00169804911655578,0.0415766961800459
"Lck",31.1001392398166,0.0705698605065824,0.11043461889571,0.0860402107585296,0.48546208035636
"Tssk3",2.12594365799722,0.00792402914112013,0.0827006925240241,0.571799185896169,0.883981940393643
"Cttnbp2",1515.22435309955,-0.0919430998129914,0.125068712591413,0.0620615962887979,0.421878351894658
"Galnt1",384.496399370505,0.105617011719638,0.109026674149216,0.0603128463267949,0.416983636223495
"Myf5",0.230710581327635,-0.00140351064250514,0.083485037685911,0.915358176098127,NA
"Mkrn2",610.801864981981,-0.0310763737314674,0.0428931042017355,0.446910251732528,0.830563722170883
"Pparg",24.9453722978041,-0.036537233851235,0.0866196858477468,0.342354447896643,0.774249928114139
"Raf1",1103.80005321938,-0.00256605838564673,0.0491989964205072,0.966504083704625,0.992633073140088
"Septin1",33.0985651215461,0.165996862560117,0.231880383897584,0.0131023201933602,0.184991988551857
"Pdgfb",177.507213237688,0.0256611314978413,0.0695395207170199,0.541875670567067,0.872783935794782
"Acvrl1",272.460629227235,0.00270199060209952,0.063705078676265,0.948214164388273,0.991692655376691
"Tamalin",711.993173623509,0.0340715385268941,0.0891318365718942,0.176440674404864,0.636480586455738
"Acvr1b",490.125244314184,-0.060525184996552,0.0798449809034238,0.22543985545885,0.686409772489834
"Tom1l2",5036.31469164245,-0.089343513140449,0.103056494293862,0.0845825991755324,0.481580567162088
"Gpa33",0.136258060610284,0.0025816583364567,0.0835539588210105,0.535996421827395,NA
"Zfp385a",305.484936758826,-0.0123612330592318,0.0743497650251425,0.727355592462708,0.937096293924051
"Itga5",62.9339491453891,0.723785927555275,0.219948468051787,3.98743250171986e-05,0.00171361976815908
"Gabra2",994.401871700776,-0.089890662416613,0.0966204923541279,0.0858115000871234,0.484707532670336
