"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Scpep1",427.286773829613,0.2177605594775,0.0431015251475042,5.08196447880272e-08,2.26839534469072e-06
"Mnt",231.194385921597,-0.0893264487329698,0.0693727980330237,0.0611066152215244,0.271515438206523
"Itgb2",270.08242160658,1.0779375455013,0.124320544487622,8.30032462665452e-20,3.353617367259e-17
"Hddc2",263.238495679183,0.0112033033792151,0.0388265882464701,0.673673212748875,0.86688584193933
"Tpd52l1",577.79776908036,-0.0207151721105183,0.0383056960532499,0.478708342174577,0.754679920202318
"Pemt",49.3175537706326,0.00890312772010662,0.043222946385027,0.802409690795879,0.922834152635975
"Cdh1",13.7356741269123,0.0819318542837407,0.117636814293812,0.0531266645000201,0.250245277566527
"Cdh4",197.972669701739,0.0309877967892743,0.0581999198489876,0.531934131370742,0.789099670835814
"Ckmt1",3592.72537927735,-0.11060410933375,0.0317651176469138,0.000217477918542481,0.00430801144811876
"Bcl6b",27.1342208602115,-0.0559760194051114,0.051748632972203,0.153951640730101,0.443970311207135
"Clec10a",7.44185295644409,0.0161306026484863,0.0603505342649267,0.645170501946068,0.852923702053715
"Alox12",14.376691590301,-0.018067476275062,0.0561944766728387,0.634424044381627,0.845778419390093
"ENSMUSG00000000325",522.582790077231,-0.0140067589926639,0.0290426635074188,0.436556644610914,0.727408163382549
"Comt",2331.69814855006,-0.0319938350575793,0.0271536000684735,0.186537195777002,0.488033118883361
"Rtca",1001.07693863657,-0.0667596135402619,0.0262186254187768,0.00607433329988956,0.0607277843641689
"Dbt",264.698725755107,0.00497446571746748,0.0341519982839758,0.96843271801525,0.989959135291256
"Dazap2",3438.00954310168,0.0173525162010528,0.0239092538632102,0.383998386526186,0.68684306200463
"Mcts1",922.739077961393,-0.00748847231036323,0.0308902100956263,0.745261847212723,0.898783762871391
"Rem1",10.7084370509791,-0.0470220420781641,0.0625472812975587,0.233497730877929,0.544293825265432
"Rnf17",15.7856803097297,0.0257949846008968,0.0571704252846567,0.492930725189331,0.763069006083153
"Trappc10",285.729860692093,0.0369686061688322,0.041315150349749,0.296368823139159,0.609273357438639
"Ccm2",909.637361265139,-0.053241812091416,0.0355707276702407,0.0797623625571734,0.314800532698782
"Tbrg4",236.471704574334,-0.0541293375215179,0.0213885444564034,0.00969911748375489,0.0847546819195072
"Tmprss2",1.45494744014859,0.0183325235671885,0.0735609603362179,0.350760615834697,0.658387851045182
"Mx1",8.63235222716376,1.06058570522053,0.209337387428703,5.74611834569828e-09,2.92092271828836e-07
"Fap",29.4867320726967,0.00109059223017077,0.0654032833611625,0.977293125160033,0.9922104098682
"Gcg",0.499601249305958,-0.0226157821621056,0.0776709276210365,0.0753375465413847,NA
"Ndufa9",2017.32023908919,-0.0355954591010893,0.0325030172812953,0.224330435918915,0.532652177018875
"Egfl6",50.3233427388072,-0.108190145878714,0.0721506061841565,0.0294216859556292,0.176451108171664
"Lck",31.1001392398166,0.0429798542440848,0.0540410741415253,0.272513553978357,0.585250238163855
"Tssk3",2.12594365799722,0.032175105547284,0.0740893272750687,0.346318156499925,0.655331046464732
"Cttnbp2",1515.22435309955,-0.0777407307509698,0.0513446670733567,0.0517326148495532,0.245803344765699
"Galnt1",384.496399370505,-0.00117767578780474,0.0391919225103315,0.928495069585932,0.976395674962076
"Myf5",0.230710581327635,0.010723682190237,0.0739828262600673,0.516128626321512,NA
