"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"wapl",1311.37464211276,0.0688748479501284,0.052689587646182,0.0790668535856668,0.332442264354066
"fs(1)h",3830.13235699865,0.00516114987602765,0.0454168765616687,0.889083041085656,0.964231182118903
"mys",1526.79137335563,0.163256286273385,0.0886398761152503,0.00623112527678393,0.093219669980918
"sim",74.629722616796,0.0441311382058843,0.080262261325491,0.147005220197679,0.450682431409479
"Mlc-c",1285.75837501828,-0.00241538541490112,0.0461870309356038,0.938469584061535,0.981452576835104
"Xpc",1190.53159541592,0.0951774283192599,0.0792923524467238,0.0459838744310207,0.260684297840734
"Ccp84Ag",11.1755766311121,0.828320694762335,0.447034825554048,0.00166328262177309,0.0438784907278864
"Ccp84Ad",1.37955739734613,0.00796630212015195,0.0706657942188657,0.00947388547970124,0.116123026515535
"Ccp84Ac",0.436992507248121,0.000999175478039283,0.0700355420312489,0.577981525038955,NA
"Ccp84Ab",20.6111724846992,3.4992918515062,1.13064581119596,2.00380639157891e-05,0.00202160450044872
"Ccp84Aa",2.52719774678644,0.00748698992699258,0.0705974015596398,0.00581352259115345,0.0901427089366764
"inaC",4976.42638032907,-0.11774400294215,0.0715287126899289,0.0162283536898616,0.151429201352049
"retn",643.470004826832,-0.00272419127075362,0.0612826112030198,0.928303638795198,0.97718298466902
"mdy",438.667371034807,-0.0168067205800917,0.0651815757288256,0.585081508339902,0.820408928885545
"fs(2)ltoPP43",244.697859570898,-0.0437660714544785,0.0569273873751181,0.251212049011206,0.568040508002236
"His3.3B",8206.88803124629,-0.0416889247500902,0.0331462322015239,0.150533204760015,0.455869001584913
"Xpac",143.911517975513,-0.0187604666410188,0.0637707933312227,0.537853853153389,0.795739245153631
"Su(H)",291.819170725321,-0.0254147325723522,0.0539297071620738,0.496728914334642,0.769800726542299
"Hrb27C",6314.29365254879,-0.015007375331089,0.0341441345782725,0.609987646757207,0.834534392822836
"otk",91.6123808759835,0.00238457813048563,0.0607888353524347,0.92728175702354,0.977167367225393
"TkR86C",97.2808105867223,0.0291800974088545,0.0653145165455651,0.378180948058113,0.683872769400997
"RYa-R",14.4304051412526,-0.00480838615474931,0.0685586351169432,0.747196913386082,0.899681783106965
"Ac76E",1177.99994429169,0.10449106216752,0.0649085433747997,0.022872742188071,0.182030681311768
"B-H2",113.810614504256,-0.139607263379178,0.112578768066531,0.018776509926599,0.163875856888309
"Polr2I",220.930694131624,-0.0614682015507053,0.0780290115392518,0.127844281353944,0.422910899328609
"Bx42",667.784801678634,-0.063641441316655,0.0480670194940705,0.0884585236920027,0.351117388570365
"elB",642.276299286431,0.039448547597652,0.0548386591935218,0.290203548613483,0.608653639256251
"ci",573.73976502023,-0.0185884796830367,0.0509404754992306,0.613698581507647,0.836399539742801
"ph-d",594.58229573743,-0.078293177058736,0.0644673775837808,0.0687933387031914,0.312433367167416
"ph-p",1184.38683432131,-0.0315789758517697,0.0440272423054281,0.379557231274304,0.684623418988162
"bap",12.3277352242082,0.0370400189921906,0.0825648427614373,0.0389685948262435,0.243502312630915
"C15",24.1496563270237,0.0149734297465946,0.069493773089991,0.424543604910763,0.722690819004249
"hop",568.467854241916,0.00650015706683505,0.0465213229016783,0.851920840933401,0.947044445286514
"Eip78C",514.344697603738,0.00922136727711505,0.0606805566869378,0.765115460901169,0.908178815587245
"RpS2",10379.1702828218,-0.0046165107360045,0.0581215626591244,0.886068155930938,0.962512534090387
"Gdi",2481.18741743822,0.00763374764311276,0.0375636136313025,0.81686177992103,0.931014746232334
"bab1",173.009382465638,-0.00173845200628369,0.0618561908318361,0.952989854389639,0.985272554372254
"piwi",10.8589625319695,-0.0268135424008144,0.076094861707231,0.073768275175767,0.322306415330293
"enc",3133.63980667186,0.0306641622384899,0.0584208176463748,0.389819895134482,0.691936982662554
"cdi",1336.86076777452,0.0327610484695892,0.0584508672974539,0.368182677259793,0.675849857429555
"cas",1.30104953160434,0.00210594818109158,0.0699348854054515,0.635652203647144,0.847690545346373
"scrt",2129.62576179721,0.0505007479260301,0.0651771089736621,0.209805798671305,0.525272436001719
"orb",566.015322720255,0.00553035968209702,0.0624388108788935,0.874486389164501,0.957454312167213
"tok",2558.29842475759,0.0392939122950319,0.0570696667562706,0.2988748788261,0.615364512835944
"Scsalpha1",3849.14856270508,0.0245241475732064,0.0578315567621507,0.476399544108178,0.755182808483056
"tws",1641.39706581059,0.0209182115266985,0.0357817384541536,0.494154123886052,0.76775933377885
"sob",29.5493232836121,-0.0630844842447779,0.107673697924343,0.0318874921257904,0.220186060176574
"bowl",342.410719433632,0.0165332209080133,0.0594049503393001,0.623517640742399,0.842397893811729
"fd59A",147.197553482503,-0.0200241764127346,0.0650494060196979,0.49871286471698,0.770639705741401
"fd96Ca",9.6973642607786,0.00120699974641239,0.0688043135292183,0.929156259230572,0.97718298466902
"fd96Cb",11.5237140401761,-0.00347811340680651,0.0688578746073789,0.790552050756895,0.918335402985789
"Prat",124.846370302631,-0.0728884927344555,0.0796036045685568,0.105267042716887,0.383744314663978
"Rb97D",739.419090153304,0.0421215448991372,0.0580323755666509,0.273730620551011,0.592820994271033
"14-3-3zeta",14705.1066992816,0.0867008589669586,0.0485633528291044,0.0237895298643528,0.186433717842829
"Arl2",105.01023143111,-0.0213695826302045,0.0684051837636529,0.411147812596997,0.711380041201902
"Eip63F-1",857.005679806195,-0.00109521139650147,0.0451359782783255,0.972580643699996,0.991133966527116
"asRNA:Eig63F-2",7.72910694009175,-0.0108409188201251,0.0704081977730539,0.313117630984141,0.628203216138227
"Gnf1",397.403582046658,-0.0599391712462695,0.0542763568979483,0.127123018896713,0.421802335733632
"Hnf4",1511.40875240338,0.0166590616549966,0.0607001430115369,0.608672992569683,0.833356318064013
"TfIIB",400.353025070607,0.0190168007398979,0.0515644303756636,0.597994752893386,0.826975593446889
"gol",4030.4199865051,0.0333904524424102,0.0503943333231319,0.386433843491471,0.688664434247828
"Ggamma1",14414.280090053,0.0642192119566528,0.0541998899518707,0.105896468704929,0.384861090966934
"Top1",1835.05406019988,0.0151815690054551,0.0381104969109457,0.634357160357021,0.84727120755523
"eIF2beta",983.91444128186,-0.0632210665697351,0.072307919859016,0.127376799413917,0.42220732815042
"upd1",2.13809898758563,0.00239487983257701,0.0699010757007094,0.640383815037836,0.850758737587758
"por",160.165581730914,-0.025159839021139,0.0592033520335961,0.46105884626437,0.746368114640845
"phtm",25.305638011212,0.0285609402077406,0.0749202547759193,0.174196090594256,0.485873231341626
"gig",846.897857655834,-0.0204132827648716,0.0452686579039054,0.557870317338355,0.806273851718527
"Sam-S",4226.10544111765,0.00762360501051178,0.0529623562465551,0.816487133301789,0.930918767102022
"nmd",505.921023610042,-0.024905512351059,0.0490765979497625,0.509346572621578,0.776506783961464
"Su(fu)",262.004751185855,-0.121324896308471,0.0610812426618357,0.00848216695918807,0.110663747856475
"ash1",926.307991068644,-0.00629898525740534,0.0432817634297189,0.854906892168573,0.949079016016025
"fs(1)M3",14.9806932623362,-0.0270227657798112,0.0757658500741067,0.0995008390021688,0.371815872004315
"Yp2",49814.7353782144,-0.00314533019426089,0.0699675902576052,0.499509466036135,0.771405789454263
"U2af50",846.858610624712,-0.0954199681830334,0.0472220871528528,0.0129544420526276,0.13580449841107
"ewg",1539.24006080658,-0.0415400564322353,0.0562021607243643,0.280125461165684,0.598830838817845
"RpS17",7142.81989457313,-0.00531992534552838,0.0616293451925048,0.839739958782927,0.941705118263054
"Mbs",3146.49737707884,0.11823659134908,0.044675425647779,0.00185866236172098,0.0469092719283951
"ey",708.18937661709,-0.00867713409729025,0.0582735182188664,0.795070541746729,0.920747847144324
"sv",640.159151699486,0.0932912278666838,0.0643073352410951,0.0371795873454422,0.237036046422633
"Shal",1471.12200722763,0.123993458505773,0.0991492083130797,0.0243720511704675,0.188920234617028
"Calr",5050.72064995324,-0.0236785554093154,0.0541600842216206,0.487392092471216,0.762641336862685
"Rab3",3256.20599790315,0.0987921067521442,0.0867239433609974,0.0445291942237375,0.257153443875944
"scw",2.79428531354315,0.022993144485065,0.0751364349872874,0.015413338961224,0.148478595470695
"FBgn0005592",116.670146714644,0.194623376368548,0.115571851634344,0.00582858635898173,0.0901427089366764
"RpL7",14407.7630073981,-0.0260461402470238,0.0628055325934907,0.437409989467575,0.730688400646747
"yem",193.556564045551,-0.0832439047502962,0.0774928822808223,0.0668829360945733,0.307975326998826
"Sox14",568.893543011849,0.0540787372881581,0.0884221744728713,0.102914221074924,0.378981337559896
"Sox15",136.521932609062,0.0250211647816066,0.065899643451791,0.41795383461433,0.717443581950773
"trpl",36241.0246513545,-0.0346687879339726,0.0651778735242775,0.301827720933746,0.618825729877166
"msl-2",596.172733969894,-0.194411271467736,0.0756138241657678,0.000878677652865512,0.029911151004262
"msl-1",552.13711565938,0.0110026949164443,0.0516650963948693,0.744454753653977,0.898912638594617
"Hdc",1121.09356565289,-0.0630374026888497,0.0652593210265385,0.13321663207509,0.432288139669634
"Psc",220.743591547628,0.11953479738476,0.150575605956636,0.0267912905838089,0.199936633629228
"ple",731.318742475349,0.037498159215141,0.0808562657353703,0.0924897117797158,0.358250934963062
"FBgn0005630",7306.15455874323,0.0274072641629498,0.051012833649361,0.449672900684247,0.738851244351241
"robo1",941.862596699704,0.019842197903772,0.0536457294309202,0.570675635529188,0.813586955579153
"faf",4605.45334944895,0.00767957131624254,0.0434784281656071,0.821577139192438,0.933153836072489
"fln",281.090715296203,0.00665946864229355,0.0703507416483204,0.128607212615326,0.424001512356258
"nvy",477.837258403353,0.0236458843102209,0.0629015415854782,0.471421384384662,0.752509305731267
"slbo",14.0167988514941,0.00524283372707545,0.068604417145946,0.719076267646974,0.886309631332391
"Eip63E",1404.61232816517,0.0697023727540911,0.0583670916181247,0.0894187701670354,0.352316549573313
"wdn",440.285989640525,-0.0551444569149996,0.0713465494770998,0.159734478088253,0.46917657355544
"Pabp2",378.004895951128,-0.0669388465612168,0.0898641696648333,0.0923732899423132,0.358208130694639
"Rox8",1672.41362836593,0.00810381316992257,0.0378762757412442,0.851394736235768,0.946962108261328
"Orc3",34.5443870105748,0.0165043153270114,0.0690897184021139,0.436561485649949,0.730217947783158
"PCNA",16.044079681208,0.00635480382201068,0.068776976837964,0.67033698405013,0.864365933069166
"Ets65A",473.722455970089,0.0622648057612486,0.0681254909713069,0.134692211761982,0.434218970832379
"Ets98B",465.16281159978,0.0118900279729241,0.0608646989375865,0.688907909094173,0.871913948913761
"Ets21C",361.797993210263,0.0192923342215136,0.0721388764607455,0.211303991016217,0.526502635705326
"Crys",539.520375864278,2.2311987133718,0.609786320299371,7.95735579042615e-06,0.0010305177635258
"bt",6494.84336889663,0.0373800126151229,0.0745135009531132,0.209462837679125,0.524823733024048
"Cyp4d1",102.234808334165,-0.0259428078734373,0.0743198311654756,0.163997913482502,0.474890440227667
"Vha55",7561.1441334488,0.102452634820059,0.053561509552633,0.0139681931134559,0.140901812673185
"spi",1572.65625397868,-0.0454889820734769,0.0501847778014043,0.214912479123465,0.531211277201069
"GluProRS",965.286919928042,-0.0565349459815353,0.073413760845151,0.147244336758947,0.450876436968345
"dac",701.646144318636,0.0268583693536777,0.0643912301554251,0.424631202907345,0.722690819004249
"pie",19.7182049308347,-0.0180170921992,0.07109397068511,0.293694702454758,0.61217034306169
"Aef1",1191.58219762551,-0.0378934630030615,0.0382262361647241,0.238794875977381,0.555881535962194
"gcl",301.167948418154,-0.0220968910351127,0.053033739397259,0.513391327146582,0.779086087934689
"PolA2",16.2321651972185,-0.0137155615966457,0.0696330948498876,0.427974248164142,0.724459708966525
"noc",1016.46678500672,-0.0360421524437063,0.0519842922285772,0.329933501095539,0.644630570774157
"Con",1162.98487187533,0.136969309803392,0.117713681478859,0.020479038405689,0.171714309793694
"PpD3",488.947265374156,0.000883607941289883,0.0490291945061586,0.990394736830941,0.998350979041971
"PpD5",5.1522179078807,1.33083427186373,0.632591936374096,0.00105224919796137,0.0337272174176568
"PpD6",0.750176187359119,0.00481728391525762,0.070246451509226,0.0671048201294936,NA
"betaCOP",1579.16098518338,-0.0771612907151669,0.0619913872847809,0.0699968003283247,0.315232467674736
"hbn",110.960057954163,-0.0504239438761198,0.0742619047342934,0.178594292962781,0.490080062883835
