"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ChAT",1577.46495053545,0.260377316759136,0.113810726370663,0.00276291722222826,0.0280144687104662
"chif",1251.30271475103,0.000678589387100605,0.0592668888724041,0.995368755438653,0.998343898058797
"chic",3968.807872167,0.0909518691884648,0.0595497841576468,0.0792331404302413,0.252601517986465
"cin",420.736527251476,-0.118308811684211,0.0594491116581139,0.0230129297119013,0.116566374131535
"ck",872.964120969976,-0.0988553053292485,0.0779149219837813,0.109559819618072,0.305745828933372
"cl",1036.31688092029,0.11434500710265,0.0977261497266182,0.0973305224797137,0.285607343170966
"Chc",6285.6779109963,-0.108860059901854,0.0520193956964227,0.0208174226814357,0.109251051514086
"eya",1228.92751970588,0.149589268837099,0.0908681981358329,0.0287408429913483,0.133403961327115
"clt",254.573340217076,-0.0849049291418106,0.0681448474935376,0.134971664547465,0.342624349543828
"cm",364.381227562711,-0.0141886063329055,0.0582814315369638,0.781704372916295,0.890629756626241
"cn",21.109212239273,-1.79535443292741,0.304060293268263,1.92406125007344e-10,3.87782730541117e-08
"cni",469.772893140363,-0.0257754657692297,0.0639265961892091,0.632846995203176,0.805480820970522
"comt",4753.31670060424,0.211225776194667,0.0874958788648821,0.00329542933967734,0.0321101715472547
"cort",12.9521161397423,0.0181613878659561,0.111982999981021,0.667598279168881,0.826886148904809
"cos",558.811085849249,0.165931912273174,0.107572866040905,0.0295727747049444,0.135761840939521
"Cp15",1.85374718164627,-0.000182597538718399,0.118916757488861,NA,NA
"Cp16",1.05527210660779,0.00234952023546236,0.119149040061645,0.690260168701082,NA
"Cp18",11.8638669329542,0.0772621942526543,0.154407257550312,0.0170887094563381,0.0962328893305942
"Cp19",13.5951801268515,1.98352256156002,0.641685293453099,4.37666077919698e-05,0.00126012729402042
"Cp36",19.4406312840139,0.00273017000506914,0.119283838667563,0.370497222582294,0.612605862636992
"Cp38",35.0004382371985,0.00712318358634639,0.11959891695849,2.63614812367639e-20,3.36489662719937e-17
"crc",13561.5422382233,-0.212014236077875,0.0477272434739874,1.82076727330221e-06,9.68378446097029e-05
"crm",436.80287489345,-0.0434689576328805,0.0605290991460176,0.405651522473795,0.641625318763453
"crn",439.417907223457,-0.0960313359168496,0.0622954037205787,0.0717240203068176,0.237522497920069
"csw",5945.69687272284,0.0323753022401348,0.0371511403069162,0.365743874491174,0.609150704298518
"cta",594.045981528188,0.0367173257015223,0.060895471321613,0.485190898470203,0.704394419515442
"cup",20.2698933658409,0.0411992149183611,0.124112879032206,0.223773282918075,0.459547278184277
"cv",710.664111103332,0.0359067947921991,0.0606525204835112,0.49151562109777,0.708828954954956
"cv-2",396.026115810369,0.11927476017493,0.12474679977089,0.100311024274581,0.290489802587948
"CycA",36.4735788674165,0.172983018455974,0.348897527070625,0.0116372943007265,0.0758305371110301
"CycB",24.2490924923908,0.034681162743268,0.125775345021995,0.0308297852605071,0.139429017837745
"Cyt-b5-r",4412.80751615859,-0.0519636240961351,0.120636543771489,0.274960152437001,0.516979088575493
"FBgn0000409",4527.58471056365,-0.046333397982472,0.0870322141044354,0.484480017609325,0.70362913303362
"D",267.172888090093,0.0482785695152551,0.0906426743899585,0.436354253433273,0.667577262410632
"D1",1347.41245944083,0.0511018758060801,0.0591801228640811,0.317088889380508,0.560668984942358
"FBgn0000413",1245.8652193024,0.0329220249933892,0.0411620364349779,0.390800727548493,0.62973407499571
"Dab",4606.10728829267,-0.20608285086136,0.0720140353655232,0.000893569171257584,0.0123233164938861
"Sap-r",14138.8857156752,-0.270866389908881,0.0842666709511399,0.000174294628943306,0.00374961928333464
"Ddc",3116.93474451618,0.628107567275826,0.132793244395287,1.32342320526705e-07,1.14147659933899e-05
"SmF",84.6383621539855,0.123136305256757,0.150234708164717,0.0964786928099805,0.28426448397052
"dec",3.65725681043174,0.0162626891543227,0.120654806191692,NA,NA
"Dfd",486.614159982994,-0.0244912740768615,0.0823200157972896,0.683141476475049,0.83693391081853
"Pkg21D",141.0283489289,0.127625286436725,0.142757737630379,0.0871548359672476,0.268255072463232
"Dhod",422.331223826684,-0.176821238853267,0.0980542656727824,0.0169516422509817,0.095789702990299
"Hr3",994.214906055779,0.134992282115874,0.0762656294029113,0.0294606074254576,0.135377383241463
"dib",51.7693454548668,0.324283074464685,0.414973774185456,0.011875387781793,0.0768456198785579
"ect",16.6150994001297,1.1057156552242,0.353934978754661,7.19537822675342e-05,0.00186592562232378
"Dip-B",1445.77888890566,0.154066194088695,0.18320417829753,0.05230362783329,0.195275942979797
"Dip-C",531.868718933962,-0.0117631180364863,0.0482982457095565,0.787323605286358,0.894194125311882
"disco",228.642114975925,-0.080807314458333,0.110944756252235,0.219575396160762,0.453357683518122
"Delta",118.374141925747,-0.0168225974956403,0.0818353966067799,0.778577281149263,0.889183080397853
"Lar",4981.39858943834,0.0761829195396589,0.0877975036021427,0.238931102420202,0.477142822941855
"Cyp6a2",2196.43196884971,-0.263633300960979,0.13268865778403,0.00475001165669716,0.0411834972921789
"DNaseII",523.646507510034,-0.13279543200397,0.127892570194304,0.0775227540926437,0.249392718850823
"dnc",2308.19696501853,0.153466703347729,0.0574853744018989,0.00274471631911137,0.027903806260134
"dor",349.905839728863,-0.0853866211369221,0.0574392427044906,0.0920301033771211,0.276114345154444
"Pka-C3",1899.86986773304,0.185808976999316,0.0774890290987824,0.00402573537199208,0.0369685435279337
"dpp",362.562421814367,0.0613571592054049,0.0744268881131584,0.297433806361767,0.540737390011707
"Dr",154.278029507114,-0.0118278318000055,0.105188095964899,0.81294043230517,0.906264889502358
"FBgn0000497",188.784975693823,0.26144172820791,0.160411771891206,0.00979233248871748,0.0674830927596799
"dsh",650.13486817055,0.0217654475528321,0.0550894165190877,0.656595604634518,0.819709878943853
"Dsk",1011.51256439492,0.186115726649125,0.140944142589127,0.0312113521119823,0.140604098386516
"dsx",610.507890810933,-0.348911263651238,0.115705389947823,0.000221610017666333,0.00445859173896819
"dwg",236.475889535295,0.0162298218892275,0.0670837308469191,0.766687437985811,0.883243610868532
"dx",194.670146125677,-0.0576505609128699,0.092890832232497,0.362014388425691,0.605359722595973
"e",2259.10339136797,-0.0335193546793705,0.117682940125178,0.416272984724549,0.650897515790883
"bsh",78.9366184404771,0.0407356422679442,0.0891469027651472,0.509993199304779,0.72261761062174
"ea",339.548479490952,-0.0426467087964568,0.077425262672174,0.474537327211539,0.69640838209072
"eag",1585.24190478683,-0.195487558251467,0.0595121724985288,0.000249872738547924,0.00482443364779589
"eas",1894.7951758428,-0.130966007540005,0.0472444175230034,0.00266254708694941,0.0273589811582064
"E(bx)",2976.11356965804,-0.00552707209147028,0.0687845480251735,0.920534846826702,0.963914348769041
"ec",267.005875811187,-0.0441357939916373,0.105150601798275,0.471229724775498,0.693769970296158
"ecd",437.530131311385,-0.0396979160926049,0.0533234826307905,0.390456792277829,0.629442631087382
"EcR",1250.79303420959,0.0439212138656063,0.0627075197782091,0.413742086867782,0.648971749581797
"ed",1658.27567102514,0.0819753950285364,0.0775346583432188,0.175291130625897,0.398366866197884
"Edg78E",8.60252601418521,0.0188174098500932,0.116038271251439,0.577051323868925,0.768751987882976
"Edg84A",1.08077067349403,0.00429724525503182,0.118456841779996,0.778340025942523,NA
"FBgn0000556",70195.5785083712,-0.115502982930072,0.124526276066272,0.109409727866413,0.305591770904293
"eEF1alpha2",12100.1373190123,-0.0298838659280497,0.045654670495878,0.480542721498599,0.700504283249996
"eEF2",37967.2938469056,-0.153495713298304,0.0981411098014296,0.0412523936444614,0.169192252119804
"eg",14.3419560375444,-0.0192923916401684,0.114668984396862,0.603031915100207,0.785891167404557
"egl",1464.88703320083,-0.249480320667055,0.0714609308559339,7.91749975248265e-05,0.00200344134705993
"Eh",15.7687378570607,0.0076174221544476,0.117455935624308,0.732323322199613,0.862068892860862
"MsrA",1902.17706107338,-0.0124861979100206,0.101811880766922,0.802542328939874,0.9013203905427
"Cth",481.780147999665,-0.0398182802773068,0.0778525116841055,0.503862283958707,0.717359018232449
"Eip74EF",770.936297460259,0.0812179872042992,0.101661333659126,0.215763114446539,0.449202954620608
"Eip75B",2929.5854175296,-0.0203537174713962,0.0673910500213476,0.713017218369053,0.853210477613484
"emc",3226.75391435988,-0.0523002654791507,0.0333932647131546,0.101638884465966,0.292711833729009
"ems",69.7385491680358,-0.0759592887159406,0.116480280808437,0.227937418955851,0.464363374528253
"en",75.0180169270393,-0.0262130897450594,0.0932742536631478,0.643887369297429,0.811791194952869
"ena",699.301316308721,0.0909993276359141,0.0533041054540709,0.0555262203195559,0.203042037703216
"Eno",12927.4516335647,0.135528136952207,0.0896114641286326,0.0481874960888481,0.185515400492187
"E(Pc)",2168.42672324051,-0.0533334826476888,0.0573003102955842,0.287104977749495,0.529501040999549
"esc",163.682545409624,0.0421469196555353,0.0849140747950813,0.492628593219245,0.709572236259259
"Est-6",2522.42780819629,-0.740914790178795,0.190264600182867,3.58823489029181e-06,0.0001724754912957
"Est-P",34.8360164540941,0.0675156267775748,0.11625202586967,0.26538345303065,0.507613238164519
"eve",2.35100702953608,-0.0245073073742756,0.121456835358907,0.195513872970174,NA
"exd",1913.30329296621,-0.00512403608890941,0.0496877691333679,0.910259533854188,0.959539504947414
"exu",83.2900047440014,-0.0073338266031105,0.116986558662023,0.764110697758919,0.88116397535943
"Taf9",139.14875945256,-0.0496301043413148,0.0887755710151797,0.41740051907879,0.651196691046448
"e(y)2",81.0450274141334,0.00510345635903594,0.0963120107069398,0.923016214309694,0.965176345601644
"eyg",108.764006537147,-0.0784956043924064,0.0865701487682228,0.21927074076278,0.452972895141668
"E(z)",351.968948242019,-0.0122798028887532,0.0698988471671118,0.82801908868263,0.914730578977407
"tei",862.98136623249,0.0951448509123872,0.0821646717567255,0.13166307264073,0.338452758670107
"Fas2",1756.52058589615,0.0683970834993768,0.0571431345458898,0.172155454790179,0.395483707446814
"Fas3",1091.22403566197,0.175422474796207,0.0768573774183529,0.00611894657624353,0.0493640858622793
"Fbp1",220.9308844515,0.0140157240855618,0.120204302505898,NA,NA
"Fbp2",14.3240492810629,-0.00866629084482246,0.119122981740666,NA,NA
"Fcp3C",8.23787468374668,0.0325771302723917,0.118000855845296,0.404658620670638,0.641176608563706
"fj",38.6871661004331,0.860057407903231,0.247351136139615,2.21542068479659e-05,0.000737932245048591
"fkh",325.938462852824,0.0217602254831598,0.0851545931166647,0.720545091243276,0.857345234498143
"fl(2)d",1176.77957033857,0.016901740592645,0.0629236122586377,0.753767936492986,0.875471241980732
"Actn",2893.583873166,0.284931260909186,0.173408933363213,0.00804645241857923,0.0595219867254592
"fliI",602.746513403027,0.0401441418290886,0.0620151006719544,0.448915653879099,0.675992008357988
"flw",2792.82557813551,-0.311442481517793,0.0558031372621789,3.09574339288095e-09,4.28480724065258e-07
"FMRFa",178.624439675305,0.268090645545174,0.152932524766312,0.00761178565301417,0.0573780797781016
"fog",910.417255253022,-0.0141470347776611,0.0474977572318932,0.73731842534073,0.865076590192928
"for",3083.55272203588,-0.107972954802785,0.122843005473164,0.127349756060461,0.332725494114754
"FER",1880.82322849426,0.0842090418030012,0.0746305969831792,0.162890474532553,0.382533475900068
"gd",1.51203169321562,-0.0213835960738502,0.12145583578899,0.1553788477827,NA
"fs(1)K10",389.882347051961,-0.0722891808537483,0.056738157227475,0.147552904838709,0.360813789711865
"png",7.03965755103435,0.00806690806851963,0.11590157676497,0.762517586847334,0.880151309390672
"fs(1)Ya",4.9966952783068,0.0115272535920942,0.118955902870986,0.479313468608058,0.699841526101851
"fs(1)Yb",15.0397273763534,-0.768523962244537,0.495581340908471,0.00320174992652697,0.0313569506870774
"tj",245.289227879619,-0.132425361787138,0.108503239657664,0.0704908745246163,0.235065070112857
"dup",67.878128057035,0.0701397413256866,0.102773015297263,0.274666413612849,0.516667577554608
"ft",52.0341447044307,0.136181273690522,0.234449251664649,0.0197088939356955,0.105702975505728
"ftz",1.95379525180786,0.000358667952612845,0.118390382815466,0.981126651169343,NA
"ftz-f1",1422.06023751988,-0.0556778500175088,0.0604193000806487,0.285701159400622,0.527674424307773
"fu",236.993665062255,0.00364931181333678,0.0747854568087175,0.954415964880951,0.98009570077343
"fw",331.470347522672,-0.064542435471971,0.112006842192677,0.287325073887504,0.529684938344679
"fy",68.7040243248273,-0.0843893660714816,0.110575401004808,0.20427274982833,0.435135425556806
"fz",214.879263214812,0.129865931451163,0.10868825747131,0.0749444485486372,0.244175219775027
"fzy",12.0752713770661,0.0539069809935538,0.135397248912009,0.0270905294330262,0.127985155148462
"g",1235.79373659766,0.172351581457789,0.0495552755718263,0.000163756434399686,0.00358330270168304
"Gal",305.127400287547,-0.42368303724169,0.105003037120358,3.92870271521673e-06,0.000184971052427909
"bnb",10893.7269109711,-0.005366636167117,0.100729775900749,0.919999548222076,0.963529474881504
"Gapdh1",7306.56709759443,0.0936948185818316,0.139358223750974,0.131398384101932,0.338174363825644
"Gapdh2",7684.70437462026,0.166849721127336,0.0789631266708712,0.00987365983365303,0.0678806727522478
"Gdh",8182.66153041965,-0.128233784959766,0.0950971908350244,0.0637675787241837,0.222123088048339
"gdl",95.2482977318535,0.00269121819589184,0.0894324766452749,0.965116706824602,0.984396761786472
"Galphai",512.690328042041,0.0482988007715044,0.071951178796302,0.402245682396272,0.639390289778155
"Gbeta13F",3543.99930898671,-0.0147614196877421,0.0385718987973874,0.680056469722014,0.834756782152633
"DCTN1-p150",1158.49193336903,0.00440780092027565,0.046812643272974,0.917792820860278,0.962886203291587
"Gld",491.596774067093,-0.127174983120075,0.142918467646156,0.0883652368539348,0.269840468096226
"Glt",4394.64876628851,-0.334029064011386,0.210580825154037,0.00649306038102592,0.0514074966624574
"gnu",2.67198977592451,0.0241449819129495,0.122245520097776,0.0671834575054413,NA
"Galphao",3446.42433758894,0.129453484931594,0.0850018041331187,0.0494355224001208,0.188254852620528
"Galphas",1301.51185393533,0.0887463212683449,0.0487719434114065,0.0432235691847088,0.173492558357402
"Got1",2048.05851110462,0.0611503290667948,0.0596958736973269,0.242025529351881,0.480454342698186
"Got2",2606.22698912839,-0.0273074158404887,0.0838445814532068,0.650066331335963,0.816120276883467
"Gpdh1",7065.43834016706,0.139844048849043,0.128256503617722,0.0703151561455207,0.23481991680225
"grau",306.854650577564,-0.131192454072689,0.0679155332354767,0.0230071176549994,0.116566374131535
"Grd",186.686920419747,0.0923592867540897,0.111824196157956,0.178741715852668,0.401493604980398
"grk",249.946740306959,-0.000158592627418286,0.0679052683536898,0.998265379202075,0.999049241614723
"grn",151.844576598134,-0.097475836166927,0.0824534121785505,0.123612736161912,0.327528813117177
"gro",1524.53796562341,0.0215548478913249,0.0579515906135292,0.665056223860048,0.824804696070844
"Gs1",3160.62281697428,0.0523182107851079,0.0855015498079467,0.429870202858286,0.662598804566751
"Gs2",17936.357210613,-0.0884254257411073,0.10803883473136,0.178169226242691,0.401016243038424
"gsb-n",8.7898527421925,-0.00609261057480878,0.113533069890697,0.861620837905754,0.933313765231129
"gsb",2.26587510123976,0.0174781788057367,0.120322905374053,0.228833908737127,NA
"GstD1",6167.02388690595,0.211002087788267,0.233036133695182,0.02636267264762,0.125770092764061
"gt",134.896139320518,0.740639101033124,0.188843028109872,4.38308335359291e-06,0.000204607532132968
"hry",1591.0509533105,-0.0130405557547325,0.111872189651843,0.760953967919685,0.879116571310158
"H",478.408094976998,-0.01878285617136,0.0531384463391696,0.692050383184911,0.842279351841113
"H2.0",7.00475189462658,0.1048887877064,0.184011226871973,0.0232893508270128,0.117448666506024
"halo",0.80301855669684,-0.000301826696788412,0.118779042479604,0.960500354899274,NA
"hay",178.69938969397,-0.0317803623876136,0.0778460675182364,0.589984922323382,0.77744249350832
"hb",97.7782465668293,0.131169460051549,0.150251946898142,0.0800247529190204,0.254418739460457
"her",323.984628609299,-0.0618841864102096,0.0517947689714841,0.183120021461677,0.406982550821613
"Hex-A",4796.34359379196,0.123869346971546,0.0639260596025262,0.024744755170076,0.121585862871614
"Hex-C",809.741411393618,-0.0944192671681148,0.139739573229715,0.136803228699191,0.344947025762203
"hfw",889.414652064962,0.0245882070307565,0.0551900612332713,0.61457243998002,0.793460124802256
"His2Av",883.494209078318,0.0462979725394243,0.0540805627328785,0.332915482229378,0.578903762160559
"hook",1163.31604456473,0.0613661360670936,0.067605196003832,0.270055153892459,0.512792331887037
"Hmr",177.433946105037,-0.0309206571924644,0.0850969773153532,0.610114114429331,0.790547140374933
"Hn",3106.5613356329,-0.376656461054934,0.211578308938852,0.00378499798751507,0.0353225482376711
"Hrb98DE",3926.51881717829,0.06056123445559,0.0382653366539872,0.0944257959753703,0.280373105237802
"Hsc70-1",371.680757598899,0.0566026396491886,0.114480751547079,0.32232775694158,0.566279442077515
"Hsc70-2",51.1458341370321,-0.0275285852945736,0.120375141965949,0.319159962029745,0.563038950214636
"Hsc70-3",4803.22459774007,0.419238729989436,0.117013655077363,2.57119825845382e-05,0.000832838043184222
"Hsc70-5",4104.76157555482,0.0693146161784911,0.0711590615096312,0.236538979779118,0.474507433161257
